# generated by almanac_calendar/_generate/gen_holidays.py — do not hand-edit
# holidays: 0.101
# country: SG
# range: 2000 .. 2100
# note: 祝日は法改正で変わる。上のバージョンが基づいた法令の時点
date,name
2000-01-01,New Year's Day
2000-01-08,Hari Raya Puasa (estimated)
2000-02-05,Chinese New Year (estimated)
2000-02-06,Chinese New Year (estimated)
2000-02-07,Chinese New Year (observed、 estimated)
2000-03-16,Hari Raya Haji (estimated)
2000-04-21,Good Friday
2000-05-01,Labour Day
2000-05-18,Vesak Day (estimated)
2000-08-09,National Day
2000-10-26,Deepavali
2000-12-25,Christmas Day
2000-12-27,Hari Raya Puasa (estimated)
2001-01-01,New Year's Day
2001-01-24,Chinese New Year
2001-01-25,Chinese New Year
2001-03-06,Hari Raya Haji
2001-04-13,Good Friday
2001-05-01,Labour Day
2001-05-07,Vesak Day
2001-08-09,National Day
2001-11-03,Polling Day
2001-11-14,Deepavali
2001-12-16,Hari Raya Puasa
2001-12-17,Hari Raya Puasa (observed)
2001-12-25,Christmas Day
2002-01-01,New Year's Day
2002-02-12,Chinese New Year
2002-02-13,Chinese New Year
2002-02-23,Hari Raya Haji
2002-03-29,Good Friday
2002-05-01,Labour Day
2002-05-26,Vesak Day
2002-05-27,Vesak Day (observed)
2002-08-09,National Day
2002-11-03,Deepavali
2002-11-04,Deepavali (observed)
2002-12-06,Hari Raya Puasa
2002-12-25,Christmas Day
2003-01-01,New Year's Day
2003-02-01,Chinese New Year
2003-02-02,Chinese New Year
2003-02-03,Chinese New Year (observed)
2003-02-12,Hari Raya Haji
2003-04-18,Good Friday
2003-05-01,Labour Day
2003-05-15,Vesak Day
2003-08-09,National Day
2003-10-23,Deepavali
2003-11-25,Hari Raya Puasa
2003-12-25,Christmas Day
2004-01-01,New Year's Day
2004-01-22,Chinese New Year
2004-01-23,Chinese New Year
2004-02-01,Hari Raya Haji
2004-02-02,Hari Raya Haji (observed)
2004-04-09,Good Friday
2004-05-01,Labour Day
2004-06-02,Vesak Day
2004-08-09,National Day
2004-11-11,Deepavali
2004-11-14,Hari Raya Puasa
2004-11-15,Hari Raya Puasa (observed)
2004-12-25,Christmas Day
2005-01-01,New Year's Day
2005-01-21,Hari Raya Haji
2005-02-09,Chinese New Year
2005-02-10,Chinese New Year
2005-03-25,Good Friday
2005-05-01,Labour Day
2005-05-02,Labour Day (observed)
2005-05-22,Vesak Day
2005-05-23,Vesak Day (observed)
2005-08-09,National Day
2005-11-01,Deepavali
2005-11-03,Hari Raya Puasa
2005-12-25,Christmas Day
2005-12-26,Christmas Day (observed)
2006-01-01,New Year's Day
2006-01-02,New Year's Day (observed)
2006-01-10,Hari Raya Haji
2006-01-30,Chinese New Year
2006-01-31,Chinese New Year
2006-04-14,Good Friday
2006-05-01,Labour Day
2006-05-06,Polling Day
2006-05-12,Vesak Day
2006-08-09,National Day
2006-10-21,Deepavali
2006-10-24,Hari Raya Puasa
2006-12-25,Christmas Day
2006-12-31,Hari Raya Haji
2007-01-01,New Year's Day
2007-01-02,Hari Raya Haji (observed)
2007-02-19,Chinese New Year
2007-02-20,Chinese New Year
2007-04-06,Good Friday
2007-05-01,Labour Day
2007-05-31,Vesak Day
2007-08-09,National Day
2007-10-13,Hari Raya Puasa
2007-11-08,Deepavali
2007-12-20,Hari Raya Haji
2007-12-25,Christmas Day
2008-01-01,New Year's Day
2008-02-07,Chinese New Year
2008-02-08,Chinese New Year
2008-03-21,Good Friday
2008-05-01,Labour Day
2008-05-19,Vesak Day
2008-08-09,National Day
2008-10-01,Hari Raya Puasa
2008-10-27,Deepavali
2008-12-08,Hari Raya Haji
2008-12-25,Christmas Day
2009-01-01,New Year's Day
2009-01-26,Chinese New Year
