# generated by almanac_calendar/_generate/gen_holidays.py — do not hand-edit
# holidays: 0.101
# country: CN
# range: 2000 .. 2100
# note: 祝日は法改正で変わる。上のバージョンが基づいた法令の時点
date,name
2010-05-01,劳动节
2010-05-03,劳动节（补假）
2010-06-14,休息日（由 2010-06-12 调休）
2010-06-15,休息日（由 2010-06-13 调休）
2010-06-16,端午节
2010-09-22,中秋节
2010-09-23,休息日（由 2010-09-19 调休）
2010-09-24,休息日（由 2010-09-25 调休）
2010-10-01,国庆节
2010-10-02,国庆节
2010-10-03,国庆节
2010-10-04,国庆节（补假）
2010-10-05,国庆节（补假）
2010-10-06,休息日（由 2010-09-26 调休）
2010-10-07,休息日（由 2010-10-09 调休）
2011-01-01,元旦
2011-01-03,元旦（补假）
2011-02-02,农历除夕
2011-02-03,春节
2011-02-04,春节
2011-02-07,休息日（由 2011-01-30 调休）
2011-02-08,休息日（由 2011-02-12 调休）
2011-04-04,休息日（由 2011-04-02 调休）
2011-04-05,清明节
2011-05-01,劳动节
2011-05-02,劳动节（补假）
2011-06-06,端午节
2011-09-12,中秋节
2011-10-01,国庆节
2011-10-02,国庆节
2011-10-03,国庆节
2011-10-04,国庆节（补假）
2011-10-05,国庆节（补假）
2011-10-06,休息日（由 2011-10-08 调休）
2011-10-07,休息日（由 2011-10-09 调休）
2012-01-01,元旦
2012-01-02,元旦（补假）
2012-01-03,休息日（由 2011-12-31 调休）
2012-01-22,农历除夕
2012-01-23,春节
2012-01-24,春节
2012-01-25,农历除夕（补假）
2012-01-26,休息日（由 2012-01-21 调休）
2012-01-27,休息日（由 2012-01-29 调休）
2012-04-02,休息日（由 2012-03-31 调休）
2012-04-03,休息日（由 2012-04-01 调休）
2012-04-04,清明节
2012-04-30,休息日（由 2012-04-28 调休）
2012-05-01,劳动节
2012-06-22,端午节（补假）
2012-06-23,端午节
2012-09-30,中秋节
2012-10-01,国庆节
2012-10-02,国庆节
2012-10-03,国庆节
2012-10-04,中秋节（补假）
2012-10-05,休息日（由 2012-09-29 调休）
2013-01-01,元旦
2013-01-02,休息日（由 2013-01-05 调休）
2013-01-03,休息日（由 2013-01-06 调休）
2013-02-09,农历除夕
2013-02-10,春节
2013-02-11,春节
2013-02-12,农历除夕（补假）
2013-02-13,春节（补假）
2013-02-14,休息日（由 2013-02-16 调休）
2013-02-15,休息日（由 2013-02-17 调休）
2013-04-04,清明节
2013-04-05,休息日（由 2013-04-07 调休）
2013-04-29,休息日（由 2013-04-27 调休）
2013-04-30,休息日（由 2013-04-28 调休）
2013-05-01,劳动节
2013-06-10,休息日（由 2013-06-08 调休）
2013-06-11,休息日（由 2013-06-09 调休）
2013-06-12,端午节
2013-09-19,中秋节
2013-09-20,休息日（由 2013-09-22 调休）
2013-10-01,国庆节
2013-10-02,国庆节
2013-10-03,国庆节
2013-10-04,休息日（由 2013-09-29 调休）
