# generated by almanac_calendar/_generate/gen_holidays.py — do not hand-edit
# holidays: 0.101
# country: DE
# range: 2000 .. 2100
# note: 祝日は法改正で変わる。上のバージョンが基づいた法令の時点
date,name
2040-05-21,Pfingstmontag
2040-10-03,Tag der Deutschen Einheit
2040-12-25,Erster Weihnachtstag
2040-12-26,Zweiter Weihnachtstag
2041-01-01,Neujahr
2041-04-19,Karfreitag
2041-04-22,Ostermontag
2041-05-01,Erster Mai
2041-05-30,Christi Himmelfahrt
2041-06-10,Pfingstmontag
2041-10-03,Tag der Deutschen Einheit
2041-12-25,Erster Weihnachtstag
2041-12-26,Zweiter Weihnachtstag
2042-01-01,Neujahr
2042-04-04,Karfreitag
2042-04-07,Ostermontag
2042-05-01,Erster Mai
2042-05-15,Christi Himmelfahrt
2042-05-26,Pfingstmontag
2042-10-03,Tag der Deutschen Einheit
2042-12-25,Erster Weihnachtstag
2042-12-26,Zweiter Weihnachtstag
2043-01-01,Neujahr
2043-03-27,Karfreitag
2043-03-30,Ostermontag
2043-05-01,Erster Mai
2043-05-07,Christi Himmelfahrt
2043-05-18,Pfingstmontag
2043-10-03,Tag der Deutschen Einheit
2043-12-25,Erster Weihnachtstag
2043-12-26,Zweiter Weihnachtstag
2044-01-01,Neujahr
2044-04-15,Karfreitag
2044-04-18,Ostermontag
2044-05-01,Erster Mai
2044-05-26,Christi Himmelfahrt
2044-06-06,Pfingstmontag
2044-10-03,Tag der Deutschen Einheit
2044-12-25,Erster Weihnachtstag
2044-12-26,Zweiter Weihnachtstag
2045-01-01,Neujahr
2045-04-07,Karfreitag
2045-04-10,Ostermontag
2045-05-01,Erster Mai
2045-05-18,Christi Himmelfahrt
2045-05-29,Pfingstmontag
2045-10-03,Tag der Deutschen Einheit
2045-12-25,Erster Weihnachtstag
2045-12-26,Zweiter Weihnachtstag
2046-01-01,Neujahr
2046-03-23,Karfreitag
2046-03-26,Ostermontag
2046-05-01,Erster Mai
2046-05-03,Christi Himmelfahrt
2046-05-14,Pfingstmontag
2046-10-03,Tag der Deutschen Einheit
2046-12-25,Erster Weihnachtstag
2046-12-26,Zweiter Weihnachtstag
2047-01-01,Neujahr
2047-04-12,Karfreitag
2047-04-15,Ostermontag
2047-05-01,Erster Mai
2047-05-23,Christi Himmelfahrt
2047-06-03,Pfingstmontag
2047-10-03,Tag der Deutschen Einheit
2047-12-25,Erster Weihnachtstag
2047-12-26,Zweiter Weihnachtstag
2048-01-01,Neujahr
2048-04-03,Karfreitag
2048-04-06,Ostermontag
2048-05-01,Erster Mai
2048-05-14,Christi Himmelfahrt
2048-05-25,Pfingstmontag
2048-10-03,Tag der Deutschen Einheit
2048-12-25,Erster Weihnachtstag
2048-12-26,Zweiter Weihnachtstag
2049-01-01,Neujahr
2049-04-16,Karfreitag
2049-04-19,Ostermontag
2049-05-01,Erster Mai
2049-05-27,Christi Himmelfahrt
2049-06-07,Pfingstmontag
2049-10-03,Tag der Deutschen Einheit
2049-12-25,Erster Weihnachtstag
2049-12-26,Zweiter Weihnachtstag
2050-01-01,Neujahr
2050-04-08,Karfreitag
2050-04-11,Ostermontag
2050-05-01,Erster Mai
2050-05-19,Christi Himmelfahrt
2050-05-30,Pfingstmontag
2050-10-03,Tag der Deutschen Einheit
2050-12-25,Erster Weihnachtstag
2050-12-26,Zweiter Weihnachtstag
2051-01-01,Neujahr
2051-03-31,Karfreitag
2051-04-03,Ostermontag
2051-05-01,Erster Mai
2051-05-11,Christi Himmelfahrt
2051-05-22,Pfingstmontag
